"title","type","subtype","rarity","color","revealed","attack","armor","health","mana","gold","skills","effect","effectType","sigCard","sigOf"
"Fight Through The Pain","Spell","Spell","common","red","true","","","","1","","","Give a red hero +2 Armor this round.

▢ Get initiative.","Normal","",""
"Kraken Shell","Spell","Spell","uncommon","red","true","","","","1","","","Modify a red hero with +1 Armor.

▢ Get initiative.","Normal","","Tidehunter"
"New Orders","Spell","Spell","common","red","true","","","","1","","","Choose an ally. Choose a combat target for it.","Normal","",""
"Poised to Strike","Spell","Spell","common","red","true","","","","1","","","Give a red hero +4 Attack this round.","Normal","",""
"Battlefield Control","Spell","Spell","basic","blue","true","","","","1","","","Choose a unit. Choose a combat target for it.","Normal","","J'Muy the Wise"
"Diabolic Revelation","Spell","Spell","uncommon","blue","true","","","","1","","","Draw 2 cards. Deal 2 damage to allies in all lanes.","Normal","",""
"Messenger Rookery","Spell","Improvement","common","blue","true","","","","1","","","Active ■1: Choose an ally. Choose a combat target for it.","Active Effect","",""
"Strafing Run","Spell","Spell","common","blue","true","","","","1","","","Deal 2 damage to each enemy creep.","Normal","",""
"Ventriloquy","Spell","Spell","common","blue","true","","","","1","","","Choose a unit. It taunts.","Normal","",""
"Watchtower","Spell","Improvement","rare","blue","true","","","","1","","","Whenever an enemy improvement enters this lane, draw a card.","Normal","",""
"Escape Route","Spell","Improvement","rare","black","true","","","","1","","","Active ■1: Return an allied hero to the Fountain.","Active Effect","",""
"Grazing Shot","Spell","Spell","common","black","true","","","","1","","","Deal 2 damage to a unit in any lane.","Normal","",""
"Relentless Pursuit","Spell","Spell","uncommon","black","true","","","","1","","","Choose a unit in another lane. Move a random allied black hero from this lane to that lane. □ Deal 2 damage to the chosen unit.","Normal","",""
"Trebuchets","Spell","Improvement","common","black","true","","","","1","","","Deal 2 piercing damage to the enemy tower before the action phase.","Normal","",""
"Zombie","Spell","Creep","basic","black","true","2","0","2","1","","","","Normal","",""
"Juke","Spell","Spell","common","green","true","","","","1","","","Swap an ally with one of its allied neighbors.","Normal","",""
"Stars Align","Spell","Spell","uncommon","green","true","","","","1","","","Give your tower +3 Mana this round.","Normal","",""
"Bronze Legionnaire","Spell","Creep","common","red","true","4","2","2","2","","","","Normal","",""
"Defensive Stance","Spell","Spell","common","red","true","","","","2","","","Give a hero +3 Armor this round.","Normal","",""
"Duel","Spell","Spell","uncommon","red","true","","","","2","","","Choose an allied red hero and another unit. They battle each other.","Normal","","Legion Commander"
"Heroic Resolve","Spell","Spell","rare","red","true","","","","2","","","Modify a red hero with ""After you play a non-item card costing 2 or less, modify this hero with +2 Health.""","Normal","",""
"Pick A Fight","Spell","Spell","common","red","true","","","","2","","","Choose an allied hero. It taunts. Choose a combat target for it.","Normal","",""
"Rising Anger","Spell","Spell","rare","red","true","","","","2","","","Modify a red hero with ""After you play a non-item card costing 2 or less, modify this hero with +1 Attack.""","Normal","",""
"Whirling Death","Spell","Spell","uncommon","red","true","","","","2","","","Choose an allied red hero. Deal 2 damage to its enemy neighbors and give them -2 Attack this round.","Normal","","Timbersaw"
"Cunning Plan","Spell","Spell","common","blue","true","","","","2","","","Swap a unit with one of its allied neighbors. Draw a card.","Normal","",""
"Fractured Timeline","Spell","Improvement","rare","blue","true","","","","2","","","Before the action phase, give a random card in opponent's hand +1 Lock.","Normal","",""
"Lightning Strike","Spell","Spell","common","blue","true","","","","2","","","Deal 6 damage to the enemy tower.","Normal","",""
"Relentless Zombie","Spell","Creep","common","blue","true","2","0","2","2","","","Play Effect: Give Relentless Zombie a Death Shield.","Play Effect","",""
"Whispers of Madness","Spell","Spell","rare","blue","true","","","","2","","","Stun an enemy this round and stun allied heroes in all lanes this round.","Normal","",""
"Assassin's Apprentice","Spell","Creep","common","black","true","3","0","2","2","","","Active ■1: Choose a combat target for Assassin's Apprentice.","Active Effect","",""
"Bitter Enemies","Spell","Improvement","rare","black","true","","","","2","","","After the combat phase, remove a charge from Bitter Enemies. Before the action phase, if there are zero charges on Bitter Enemies, deal 6 damage to both towers.","Normal","",""
"Horde Catapult","Spell","Creep","uncommon","black","true","0","0","4","2","","","Deal 2 piercing damage to the enemy tower before the action phase.","Normal","",""
"Mana Drain","Spell","Spell","common","black","true","","","","2","","","Give the enemy tower -2 Mana this round and give your tower +2 Mana this round.","Normal","","Lion"
"Unsupervised Artillery","Spell","Improvement","uncommon","black","true","","","","2","","","Active ■1: Deal 4 piercing damage to the enemy tower. May only be used if there are no unblocked enemies.","Active Effect","",""
"Untested Grunt","Spell","Creep","common","black","true","4","0","2","2","","","","Normal","",""
"Aphotic Shield","Spell","Spell","uncommon","green","true","","","","2","","","Purge your opponent's effects from a unit. Give that unit +2 Armor and +2 Retaliate this round.","Normal","","Abaddon"
"Bellow","Spell","Spell","common","green","true","","","","2","","","Move a creep to a random other lane.","Normal","",""
"Defend the Weak","Spell","Spell","uncommon","green","true","","","","2","","","Modify a unit with ""This unit's allied neighbors have +2 Armor.""","Normal","",""
"Iron Branch Protection","Spell","Spell","uncommon","green","true","","","","2","","","Give a unit in any lane +3 Armor until end of its next combat phase.","Normal","",""
"Vhoul Martyr","Spell","Creep","common","green","true","2","0","2","2","","","Death Effect: Modify allies with +1 Attack and +1 Health.","Death Effect","",""
"Combat Training","Spell","Spell","common","red","true","","","","3","","","Modify a hero with +2 Attack.","Normal","",""
"Grand Melee","Spell","Improvement","rare","red","true","","","","3","","","If there is an allied red hero in this lane, all heroes have +2 Cleave.","Normal","",""
"Hellbear Crippler","Spell","Creep","common","red","true","3","0","3","3","","","When Hellbear Crippler deals battle damage to a unit, modify that unit with -1 Attack.","Normal","",""
"Loyal Beast","Spell","Creep","basic","red","true","3","1","3","3","","","When Loyal Beast deals battle damage to a unit, modify that unit with -1 Attack.","Normal","",""
"Mercenary Exiles","Spell","Creep","rare","red","true","2","1","4","3","","","Active ■2: Spend all your gold. Modify Mercenary Exiles with +X Attack and +X Health where X is half the gold spent.","Active Effect","",""
"Path of the Bold","Spell","Improvement","rare","red","true","","","","3","","","After you play a red card, modify a random ally with +1 Attack.","Normal","",""
"Rend Armor","Spell","Spell","uncommon","red","true","","","","3","","","Modify a unit with -X Armor where X is its Armor.","Normal","",""
"Smash Their Defenses!","Spell","Spell","uncommon","red","true","","","","3","","","Condemn an improvement. □ Draw a card.","Normal","",""
"Spot Weakness","Spell","Spell","uncommon","red","true","","","","3","","","Give a hero and its allied neighbors Pierce this round. Draw a card.","Normal","",""
"Temple of War","Spell","Improvement","uncommon","red","true","","","","3","","","All equipped heroes have +2 Attack and +1 Armor.","Normal","",""
"At Any Cost","Spell","Spell","rare","blue","true","","","","3","","","Deal 6 damage to every unit.","Normal","",""
"Better Late Than Never","Spell","Spell","common","blue","true","","","","3","","","Summon a Melee Creep into any lane.","Normal","",""
"Buying Time","Spell","Spell","common","blue","true","","","","3","","","Give two random cards in opponent's hand +2 Lock.","Normal","",""
"Compel","Spell","Spell","uncommon","blue","true","","","","3","","","Choose a unit. Choose a combat target for it. Draw a card.","Normal","",""
"Frostbite","Spell","Spell","common","blue","true","","","","3","","","Deal 2 damage to a unit and disarm it this round.","Normal","","Crystal Maiden"
"Howling Mind","Spell","Improvement","uncommon","blue","true","","","","3","","","You and your opponent draw an extra card each round.","Normal","",""
"Ignite","Spell","Improvement","common","blue","true","","","","3","","","Deal 1 piercing damage to each enemy before the action phase.","Normal","","Ogre Magi"
"Path of the Wise","Spell","Improvement","rare","blue","true","","","","3","","","After you play a blue card, deal 1 piercing damage to a random enemy.","Normal","",""
"Plague Ward","Spell","Creep","basic","blue","true","1","0","3","3","","","Before the action phase, deal 2 piercing damage to a random enemy neighbor of Plague Ward.","Normal","",""
"Rolling Storm","Spell","Spell","uncommon","blue","true","","","","3","","","Deal 2 damage to all towers in all lanes.","Normal","",""
"Tower Barrage","Spell","Spell","common","blue","true","","","","3","","","Deal 2 damage to each enemy.","Normal","",""
"Wrath of Gold","Spell","Spell","rare","blue","true","","","","3","","","Spend all your gold. Repeat one time for each gold spent: □ Deal 4 damage to a random ally or enemy.","Normal","",""
"Assault Ladders","Spell","Improvement","uncommon","black","true","","","","3","","","Allies deal +2 damage when attacking a tower.","Normal","","Sorla Khan"
"Assured Destruction","Spell","Improvement","rare","black","true","","","","3","","","All heroes have +4 Siege.","Normal","",""
"Ball Lightning","Spell","Spell","rare","black","true","","","","3","","","Move an allied black hero to an empty combat position in any lane.","Normal","","Storm Spirit"
"Dirty Deeds","Spell","Spell","uncommon","black","true","","","","3","","","Deal 2 damage to the enemy tower for each of its improvements.","Normal","",""
"Disciple of Nevermore","Spell","Creep","common","black","true","4","-2","4","3","","","Other allies have +2 Attack and -2 Armor.","Normal","",""
"Forward Charge","Spell","Spell","uncommon","black","true","","","","3","","","Give allies +2 Siege this round. Allies change their combat target to the unit or tower across from them.","Normal","",""
"Hound of War","Spell","Creep","basic","black","true","2","0","1","3","","","","Normal","",""
"Iron Fog Goldmine","Spell","Improvement","common","black","true","","","","3","","","Get 3 gold after the combat phase.","Normal","",""
"Lodestone Demolition","Spell","Spell","uncommon","black","true","","","","3","","","Deal damage to the enemy tower equal to the total Armor on enemies.","Normal","",""
"No Accident","Spell","Spell","basic","black","true","","","","3","","","Deal 3 damage to a unit.","Normal","","Debbi the Cunning"
"Path of the Cunning","Spell","Improvement","rare","black","true","","","","3","","","After you play a black card, modify a random ally with +1 Siege.","Normal","",""
"Payday","Spell","Spell","common","black","true","","","","3","","","Double your gold.","Normal","",""
"Revtel Investments","Spell","Improvement","rare","black","true","","","","3","","","Add a charge to Revtel Investments after the combat phase.
Active ■1: Get 4 gold for each charge. Condemn Revtel Investments.","Normal","",""
"Slay","Spell","Spell","common","black","true","","","","3","","","Condemn a creep.","Normal","",""
"The Oath","Spell","Improvement","rare","black","true","","","","3","","","You can not play spells or creeps while this is the active lane. If there is an allied black hero in this lane, allies have +4 Attack.","Normal","",""
"Track","Spell","Spell","common","black","true","","","","3","","","Give a hero +10 Bounty until it dies.","Normal","","Bounty Hunter"
"Avernus' Blessing","Spell","Spell","common","green","true","","","","3","","","Modify a unit with +2 Attack.","Normal","",""
"Mist of Avernus","Spell","Improvement","uncommon","green","true","","","","3","","","Modify allies with +1 Attack before the action phase.","Normal","",""
"Path of the Dreamer","Spell","Improvement","rare","green","true","","","","3","","","After you play a green card, give your tower +3 Regeneration until end of round.","Normal","",""
"Rebel Decoy","Spell","Creep","common","green","true","2","0","3","3","","","Active ■1: Swap Rebel Decoy with another ally.","Active Effect","",""
"Roseleaf Wall","Spell","Creep","basic","green","true","0","0","8","3","","","","Normal","",""
"Rumusque Blessing","Spell","Spell","common","green","true","","","","3","","","Choose a lane. Modify allies in that lane with +3 Health.","Normal","",""
"Unearthed Secrets","Spell","Improvement","rare","green","true","","","","3","","","Draw a card after the combat phase if your tower was dealt damage this round.","Normal","",""
"Viper Strike","Spell","Spell","uncommon","green","true","","","","3","","","Give a unit ""Deal 2 piercing damage to this unit before the action phase"" until it dies.","Normal","","Viper"
"Melee Creep","Spell","Creep","basic","","true","2","0","4","3","","","","Normal","",""
"Clear The Deck","Spell","Spell","common","red","true","","","","4","","","Give allied heroes +4 Cleave this round.","Normal","",""
"Crippling Blow","Spell","Spell","common","red","true","","","","4","","","Modify a hero with -2 Attack.","Normal","",""
"Enrage","Spell","Spell","common","red","true","","","","4","","","Give a red hero +4 Attack and +4 Armor this round.","Normal","","Ursa"
"Legion Standard Bearer","Spell","Creep","uncommon","red","true","0","0","6","4","","","Legion Standard Bearer's allied neighbors have +4 Attack.","Normal","",""
"Nether Ward","Spell","Improvement","rare","red","true","","","","4","","","After opponent plays a spell, deal 3 damage to the enemy tower.","Normal","","Pugna"
"Rebel Instigator","Spell","Creep","uncommon","red","true","2","0","3","4","","","After the combat phase, if Rebel Instigator dealt battle damage to a creep this round, summon a Rebel Instigator.","Normal","",""
"Smeevil Armsmaster","Spell","Creep","uncommon","red","true","2","0","2","4","","","Play Effect: Modify a random allied hero with +2 Attack.","Play Effect","",""
"Steel Reinforcement","Spell","Improvement","common","red","true","","","","4","","","Your tower has +1 Armor.","Normal","","Mazzie"
"Stonehall Elite","Spell","Creep","uncommon","red","true","4","2","2","4","","","Modify Stonehall Elite with +2 Attack and +2 Health after a unit blocking it dies.","Normal","",""
"Sucker Punch","Spell","Spell","common","red","true","","","","4","","","Stun a unit blocking an allied red hero this round. Deal 2 damage to that unit.","Normal","",""
"Tresdin's Standards","Spell","Spell","rare","red","true","","","","4","","","Modify a red hero with ""After you play a red card, give this hero and its allied neighbors +1 Attack and +1 Armor this round.""","Normal","",""
"Viscous Nasal Goo","Spell","Spell","common","red","true","","","","4","","","Modify a unit with -2 Armor.","Normal","","Bristleback"
"...And One For Me","Spell","Spell","uncommon","blue","true","","","","4","","","Choose a hero. Put a base copy of a random item equipped by that hero into your hand.","Normal","",""
"Aghanim's Sanctum","Spell","Improvement","uncommon","blue","true","","","","4","","","Active ■1: Fully restore your tower's Mana.","Active Effect","",""
"Arcane Assault","Spell","Spell","common","blue","true","","","","4","","","Deal 2 damage to the enemy tower. Draw a card.

▢ Get initiative.","Normal","",""
"Astral Imprisonment","Spell","Spell","uncommon","blue","true","","","","4","","","Stun a unit this round. Give that unit Damage Immunity this round.","Normal","","Outworld Devourer"
"Dimensional Portal","Spell","Spell","common","blue","true","","","","4","","","Summon three Melee Creeps.","Normal","",""
"Divided We Stand","Spell","Spell","rare","blue","true","","","","4","","","Summon a Meepo.","Normal","","Meepo"
"Fog of War","Spell","Spell","rare","blue","true","","","","4","","","Each enemy has a 50% chance of being disarmed this round.","Normal","",""
"Foresight","Spell","Spell","common","blue","true","","","","4","","","Draw 2 cards.","Normal","",""
"Prey on the Weak","Spell","Spell","rare","blue","true","","","","4","","","Summon a Hound of War for every damaged unit.","Normal","","Kanna"
"Self Sabotage","Spell","Spell","uncommon","blue","true","","","","4","","","Modify two random cards in opponent's hand with ""□ Deal 6 damage to a random allied tower in any lane.""","Normal","",""
"Sow Venom","Spell","Spell","common","blue","true","","","","4","","","Summon two Plague Wards.","Normal","","Venomancer"
"Arcane Censure","Spell","Spell","common","black","true","","","","4","","","Modify the enemy tower with -1 Mana.","Normal","",""
"Collateral Damage","Spell","Spell","common","black","true","","","","4","","","Modify a black hero with +3 Siege.","Normal","",""
"Coordinated Assault","Spell","Spell","rare","black","true","","","","4","","","Modify a black hero with ""After you play a black card, give this hero and its allied neighbors +2 Attack this round.""","Normal","",""
"Gank","Spell","Spell","uncommon","black","true","","","","4","","","Choose an allied black hero. Choose another unit in any lane. They battle each other.","Normal","",""
"Heartstopper Aura","Spell","Spell","common","black","true","","","","4","","","Modify a black hero with ""Deal 2 piercing damage to this hero's enemy neighbors before the action phase.""","Normal","","Necrophos"
"Hip Fire","Spell","Spell","common","black","true","","","","4","","","Deal 4 damage to a unit.

▢ Get initiative.","Normal","",""
"Keenfolk Turret","Spell","Improvement","uncommon","black","true","","","","4","","","Active ■1: Deal 2 piercing damage to a unit.","Active Effect","",""
"Murder Plot","Spell","Spell","uncommon","black","true","","","","4","","","Give a black hero +8 Attack this round. Choose a combat target for it.","Normal","",""
"Oglodi Vandal","Spell","Creep","common","black","true","4","0","4","4","","","Play Effect: Deal 4 damage to the enemy tower.","Play Effect","",""
"Pick Off","Spell","Spell","uncommon","black","true","","","","4","","","Deal 4 damage to a unit in any lane.","Normal","",""
"Pit Fighter of Quoidge","Spell","Creep","rare","black","true","2","0","8","4","","","Modify Pit Fighter of Quoidge with +2 Attack after an allied neighbor dies.","Normal","",""
"Ravenous Mass","Spell","Creep","rare","black","true","1","0","1","4","","","Active ■1: Condemn Ravenous Mass's allied neighbors. Modify Ravenous Mass with their Attack and Health.","Active Effect","",""
"The Tyler Estate","Spell","Improvement","uncommon","black","true","","","","4","","","Both towers have -2 Mana.","Normal","",""
"Tyler Estate Censor","Spell","Creep","uncommon","black","true","2","0","8","4","","","The enemy tower has -1 Mana.","Normal","",""
"Allseeing One's Favor","Spell","Spell","rare","green","true","","","","4","","","Modify a green hero with ""Allies have +2 Regeneration.""","Normal","","Omniknight"
"Altar of the Mad Moon","Spell","Improvement","uncommon","green","true","","","","4","","","Allied Melee Creeps have +2 Regeneration.","Normal","",""
"Arm the Rebellion","Spell","Spell","common","green","true","","","","4","","","Modify allied creeps with +2 Attack and +1 Armor.","Normal","",""
"Caught Unprepared","Spell","Spell","rare","green","true","","","","4","","","Stun a hero until they equip an item.","Normal","",""
"Cleansing Rite","Spell","Spell","uncommon","green","true","","","","4","","","Purge your opponent's effects from a hero.","Normal","",""
"Defensive Bloom","Spell","Spell","uncommon","green","true","","","","4","","","Summon two Roseleaf Walls.","Normal","",""
"Empower","Spell","Spell","common","green","true","","","","4","","","Modify a unit with +3 Attack and +3 Cleave.","Normal","","Magnus"
"Gust","Spell","Spell","rare","green","true","","","","4","","","Silence enemy heroes this round.","Normal","","Drow Ranger"
"Homefield Advantage","Spell","Improvement","uncommon","green","true","","","","4","","","Before the action phase disarm a random enemy this round.","Normal","",""
"Ion Shell","Spell","Spell","common","green","true","","","","4","","","Modify a unit with +3 Retaliate.","Normal","","Dark Seer"
"Prowler Vanguard","Spell","Creep","basic","green","true","0","0","6","4","","","Prowler Vanguard's allied neighbors have +1 Armor.","Normal","","Fahrvhan the Dreamer"
"Rampaging Hellbear","Spell","Creep","rare","green","true","2","0","3","4","","","Modify Rampaging Hellbear with +4 Attack after the combat phase.","Normal","",""
"Restoration Effort","Spell","Spell","uncommon","green","true","","","","4","","","Heal your tower 8.","Normal","",""
"Roseleaf Druid","Spell","Creep","common","green","true","2","0","6","4","","","Your tower has +1 Mana.","Normal","","Treant Protector"
"Satyr Duelist","Spell","Creep","common","green","true","3","0","5","4","","","Modify Satyr Duelist with +2 Attack after the combat phase.","Normal","",""
"Savage Wolf","Spell","Creep","common","green","true","3","0","3","4","","","Modify Savage Wolf with +1 Attack and +2 Health after the combat phase.","Normal","","Lycan"
"Selemene's Favor","Spell","Improvement","common","green","true","","","","4","","","Your tower has +2 Mana.","Normal","",""
"Selfish Cleric","Spell","Creep","common","green","true","4","0","4","4","","","Fully heal Selfish Cleric after the combat phase.","Normal","",""
"Smeevil Blacksmith","Spell","Creep","uncommon","green","true","2","0","2","4","","","Play Effect: Modify a random allied hero with +1 Armor.","Play Effect","",""
"Soul of Spring","Spell","Spell","rare","green","true","","","","4","","","Modify a hero with ""After you play a green card, give this hero and its allied neighbors +4 Regeneration this round.""","Normal","",""
"Steal Strength","Spell","Spell","uncommon","green","true","","","","4","","","Give a unit -4 Attack this round and give another unit +4 Attack this round.","Normal","",""
"Centaur Hunter","Spell","Creep","basic","red","true","4","0","8","5","","","","Normal","",""
"Cursed Satyr","Spell","Creep","uncommon","red","true","6","0","6","5","","","Summon a Zombie for your opponent after the combat phase.","Normal","",""
"Enough Magic!","Spell","Spell","uncommon","red","true","","","","5","","","Proceed to the combat phase.","Normal","",""
"Fighting Instinct","Spell","Spell","basic","red","true","","","","5","","","Modify a red hero with +1 Attack and +1 Armor.","Normal","","Keefe the Bold"
"Ogre Corpse Tosser","Spell","Creep","rare","red","true","2","0","10","5","","","Deal 2 piercing damage to the enemy tower after an allied Melee Creep dies.","Normal","",""
"Raze","Spell","Spell","rare","red","true","","","","5","","","Condemn all enemy improvements.","Normal","",""
"Red Mist Pillager","Spell","Creep","uncommon","red","true","4","0","2","5","","","After the combat phase, if Red Mist Pillager dealt battle damage to a tower this round, summon a Red Mist Pillager.","Normal","",""
"Barracks","Spell","Improvement","uncommon","blue","true","","","","5","","","Summon a Melee Creep into this lane each deployment phase.","Normal","","Prellex"
"Conflagration","Spell","Improvement","rare","blue","true","","","","5","","","Deal 2 damage to each enemy before the action phase.","Normal","",""
"Satyr Magician","Spell","Creep","uncommon","blue","true","2","0","5","5","","","Active ■1: Fully restore your tower's Mana.","Active Effect","",""
"Blood Rage","Spell","Spell","common","black","true","","","","5","","","Silence a unit this round. Give that unit +4 Attack this round.","Normal","","Bloodseeker"
